Targeted Website Conversion,Average Order Value,Targeted ROAS,CPC Ceiling [For Reference],ON Platform - Organic,ON Platform - Paid,3rd Party Channels,Offline Stores,Net # of orders / day,Revenues per week (L),MRR (L),GMV ARR (Cr),Private Label Brands,3rd Party Brands,NMV MRR (L),NMV ARR (INR Cr),NMV %,Product + Packaging cost + Shipping,COGS Monthly (INR L),COGS ARR (INR Cr),COGS (% of GMV),Gross Margin ARR (INR Cr),Gross Margin%,Order processing fees,Order processing fees.1,Warehousing + Shipping,Store Merchant Fees,3rd Party Channel Margins.1,Contribution margin 1 (L),Contribution Margin 1 %,Daily Paid Marketing Budget (INR),Weekly marketing spend (L),Monthly marketing spend (L),# of order / day,Revenue / week (L),Paid - Channel ARR (Cr),Marketing %,Marketplace mktg / week (L),# of order / day.1,marketplace revenue / week (L),marketplace ARR (Cr),Offline mktg / week (L),Overall Marketing spend / week (L),Overall Marketing spend / month (L),Blended Marketing %age,Contribution margin 2 (L),Contribution Margin 2 %,Payroll,Other operating expenses,EBITDA (L),EBITDA Margin %,Opening Cash Balance,Cash-in Revenue,Investments,Cash-out Costs,Cash-out Inventory,Cash movement for the month,Closing Cash Balance,Cost of Inventory,Cash for Additional Inventory,Investment Infusion ,Conversion_to_ROAS,Total_Cash_Flow,CPC_to_orders,Investment_to_Cash_in,Revenue_to_Cost_Growth
0.2158205119700236,1200,-2.803709106892799,2.0560553860093824,-2.7846958391975862,1.0540354516898711,2.4302047807655045,-1.60955916583034,-0.846081425647559,1.26,5.4,0.6,-1.4354400789221895,1.4346763361815065,2.2,0.3,-1.4353399459794929,1.4142135623730945,0.0,0.0,-1.51368975279453,0.3,-1.3339484218391255,1.096960703402874,-1.2038600022067447,-2.4397265355382283,-2.110579412044346,2.4302047807655063,0,-1.6822344536767635,3456,0.24,1.04,-0.8491752133729091,0.6,0.31,3.307269586843757,0.03,-0.9195440782323944,0.63,0.3,0.0,0.27,1.17,2.963179383737422,-0.1,-2.353287014124013,2.9353234005188327,1.8605210188381267,-0.5179787712910179,-2.7182997952034302,-0.2516062185352725,-0.8038590952566557,-0.0894144646524128,-0.8163808016111032,-0.1385640628955551,-0.2177571471864207,-0.2768516321322496,-0.7994487438615135,0.0,-0.1758631145281647,3.808395060547772,-0.2178048176084724,6.574180769744844,1.3797731000521536,0.4229504839979217
0.2158205119700236,1200,-2.803709106892799,2.0560553860093824,-2.7846958391975862,1.0540354516898711,2.4302047807655045,-1.60955916583034,-0.8457314476934585,2.52,10.8,1.3,-1.4354400789221895,1.4346763361815065,4.3,0.5,-1.4353399459794929,1.4142135623730945,0.0,0.0,-1.51368975279453,0.5,-1.3339484218391255,1.096960703402874,-1.2038600022067447,-2.4397265355382283,-2.110579412044346,2.4302047807655063,0,-1.6822344536767635,6912,0.48,2.07,-0.8487662946552298,1.2,0.62,3.307269586843757,0.06,-0.9188987032683512,1.26,0.6,0.0,0.55,2.34,2.963179383737422,-0.3,-2.353287014124013,2.9353234005188327,1.8605210188381267,-0.5214563058414778,-2.7182997952034302,-0.2426803854251191,-0.8038590952566557,-0.1773631184088844,-0.8163808016111032,-0.1385640628955551,-0.2417940231539294,-0.2774586852478209,-0.7994487438615135,0.0,-0.1758631145281647,3.808395060547772,-0.2418418531197184,3.155810041098652,-0.1574262639841924,0.4229504839979217
0.2158205119700236,1200,-2.4638655787845813,1.3858955911315196,-2.7846958391975862,1.0540354516898711,2.4302047807655045,-1.60955916583034,-0.8452648104213246,4.2,18.0,2.2,-1.4354400789221895,1.4346763361815065,7.2,0.9,-1.4353399459794929,1.4142135623730945,0.0,0.0,-1.51368975279453,0.9,-1.3339484218391255,1.096960703402874,-1.2038600022067447,-2.4397265355382283,-2.110579412044346,2.4302047807655063,0,-1.6822344536767635,10473,0.73,3.14,-0.848182125058545,2.0,1.04,2.6095226029114955,0.11,-0.9179767390340036,2.1,1.1,0.0,0.84,3.59,2.395033308298842,-0.4,-2.104347233869305,2.9353234005188327,1.8605210188381267,-0.5249338403919379,-2.570304130778641,-0.2434242048509652,-0.80346967580879,-0.1773631184088844,-0.8159726894317986,-0.1385640628955551,-0.2431807659982088,-0.2785210282000707,-0.7994487438615135,0.0,-0.1758631145281647,3.037485131424312,-0.2432286051684441,1.6025878412700385,-0.1574262639841924,0.4229504839979217
0.2158205119700236,1200,-2.4638655787845813,1.3858955911315196,-1.794092576241923,1.504157352767396,1.6647859521779445,-1.60955916583034,-0.8446815138311573,6.3,27.0,3.2,-1.4354400789221895,1.4346763361815065,10.8,1.3,-1.4353399459794929,1.4142135623730945,0.0,0.0,-1.51368975279453,1.3,-1.3339484218391255,1.096960703402874,-0.2657872732144759,-1.6292983438023465,-0.904534033733292,1.6647859521779451,1,-1.4417153536748706,16364,1.15,4.91,-0.8473642876231863,3.2,1.62,2.6095226029114955,0.14,-0.9171469712230907,2.84,1.5,0.0,1.29,5.52,2.550867660419139,-0.6,-2.0232639911577706,2.9353234005188327,1.8605210188381267,-0.5249338403919379,-2.52209982865171,-0.2447258888461959,-0.8030802563609244,-0.1773631184088844,-0.8151564650731895,-0.1385640628955551,-0.2445675088424881,-0.2798868977101061,-0.7994487438615135,0.0,-0.1758631145281647,3.037485131424312,-0.2441531065342612,0.980871664997512,-0.1574262639841924,-3.1238495474406136
-2.1821851765858185,1200,-2.124022050676363,-0.7170196272783275,-1.794092576241923,1.504157352767396,1.6647859521779445,-1.60955916583034,-0.843864898604923,9.24,39.6,4.8,-1.4354400789221895,1.4346763361815065,15.8,1.9,-1.4353399459794929,1.4142135623730945,0.0,0.0,-1.51368975279453,1.9,-1.3339484218391255,1.096960703402874,-0.2657872732144759,-1.6292983438023465,-0.904534033733292,1.6647859521779451,1,-1.4417153536748706,22000,1.54,6.6,-0.846371199308822,4.6,2.38,2.028705745407444,0.21,-0.9156718284481348,4.16,2.1,0.0,1.75,7.49,2.0606387610407078,-0.7,-1.8070420105936809,2.9353234005188327,1.8605210188381267,-0.5284113749423979,-2.3935550229798928,-0.2463994825543497,-0.8026908369130588,-0.1773631184088844,-0.814748352893885,-0.1385640628955551,-0.2464164993015272,-0.2820115836146056,-0.7994487438615135,0.0,-0.1758631145281647,0.6283916029134986,-0.2464643599488041,0.3201161411989696,-0.1574262639841924,-2.414489541152905
-2.1821851765858185,1200,-2.124022050676363,-0.7170196272783275,-0.968589857112204,1.504157352767396,0.8993671235903844,-1.277691296586971,-0.8426983054245883,13.44,57.6,6.9,-1.4354400789221895,1.4346763361815065,23.0,2.8,-1.4353399459794929,1.4142135623730945,0.0,0.0,-1.51368975279453,2.8,-1.3339484218391255,1.096960703402874,0.6722854557777929,-0.920173676033451,-0.904534033733292,0.8993671235903854,2,-1.2034653017862027,32000,2.24,9.6,-0.84491077531711,6.7,3.46,2.028705745407444,0.27,-0.914381078520048,5.38,2.8,0.02,2.53,10.85,2.034666369020658,-0.8,-1.6462980382006402,1.9469990232397647,1.8605210188381267,-0.5318889094928579,-1.8751473527376308,-0.2490028505448111,-0.8019119980173275,-0.1773631184088844,-0.8139321285352761,-0.1385640628955551,-0.2478032421458066,-0.2845915593557836,-0.7994487438615135,0.0,3.3413991760351305,0.6283916029134986,-0.2478511119975298,0.1380296322156853,-0.1574262639841924,-1.603792391109811
-2.1821851765858185,1200,-1.784178522568145,-1.0713569900873126,-0.968589857112204,1.504157352767396,0.8993671235903844,-1.277691296586971,-0.8412983936081867,18.48,79.2,9.5,-1.4354400789221895,1.4346763361815065,31.7,3.8,-1.4353399459794929,1.4142135623730945,0.0,0.0,-1.51368975279453,3.8,-1.3339484218391255,1.096960703402874,0.6722854557777929,-0.920173676033451,-0.904534033733292,0.8993671235903854,2,-1.2034653017862027,40615,2.84,12.18,-0.8431582665270555,9.2,4.75,1.5379825918726668,0.37,-0.912168364357614,7.39,3.8,0.03,3.25,13.91,1.6191080966998674,-0.9,-1.464216370357196,1.5516692723281371,1.8605210188381267,-0.5353664440433179,-1.5977611931300255,-0.2521640831046571,-0.8011331591215961,3.3405830318499805,-0.8127077919973624,-0.1385640628955551,0.6748429969147187,0.0157479695731119,-0.7994487438615135,0.0,-0.1758631145281647,0.220698851934745,0.6748012510879876,0.0064417817237651,7.528570556197537,-2.414489541152905
-1.222982901163481,1200,-1.4443349944599269,-0.8479703917946915,-0.968589857112204,1.504157352767396,0.8993671235903844,-1.277691296586971,-0.8394318445196512,25.2,108.0,13.0,-1.4354400789221895,1.4346763361815065,43.2,5.2,-1.4353399459794929,1.4142135623730945,0.0,0.0,-1.51368975279453,5.2,-1.3339484218391255,1.096960703402874,0.6722854557777929,-0.920173676033451,-0.904534033733292,0.8993671235903854,3,-1.2034653017862027,51429,3.6,15.43,-0.8408215881403162,12.6,6.48,1.1162673818037188,0.5,-0.9092180788077018,10.08,5.2,0.04,4.15,17.78,1.2619877064241896,-1.0,-1.3077399370542364,1.15633952141651,1.8605210188381267,-0.5353664440433179,-1.3355974447203989,0.1158405778327098,-0.7999649007779993,-0.1773631184088844,-0.8114834554594488,-0.1385640628955551,-0.2515012230638848,0.0119538876007913,-0.7994487438615135,0.0,-0.1758631145281647,0.4769628668356764,-0.2515491174607985,-0.0549658818391309,-0.1574262639841924,-1.7596956891950224
-1.222982901163481,1200,-1.4443349944599269,-0.8479703917946915,-0.968589857112204,1.504157352767396,0.8993671235903844,-1.277691296586971,-0.8370986581589819,33.6,144.0,17.3,-1.3371334875110132,1.3363434824336304,58.5,7.0,-1.337006540226159,1.4142135623730945,0.6,0.1,-1.39194526865556,6.9,-1.263462375771008,1.096960703402874,0.6722854557777929,-0.920173676033451,-0.904534033733292,0.8993671235903854,4,-1.1580843395216944,68571,4.8,20.57,-0.8379007401568921,16.8,8.64,1.1162673818037188,0.67,-0.9055302218703116,13.44,6.9,0.06,5.53,23.7,1.2619877064241896,-1.2,-1.2792896764536985,0.7610097705048828,1.8605210188381267,-0.5423215131442379,-1.1495457523006638,0.1111917064211716,-0.7987966424344023,-0.1773631184088844,-0.8098510067422309,-0.1385640628955551,-0.2538124611376837,0.0074009892340066,-0.7979679175886161,0.0,-0.1758631145281647,0.4769628668356764,-0.2538603708753414,-0.1068645832662332,-0.1574262639841924,-2.08067306760575
-1.222982901163481,1200,-0.7646479382434908,-1.4102883806002553,-0.968589857112204,1.504157352767396,0.8993671235903844,-1.277691296586971,-0.8347654717983125,42.0,180.0,21.6,-1.2879801918054252,1.2871770555596924,73.6,8.8,-1.287839837349493,1.4142135623730945,1.1,0.1,-1.3310730265860748,8.7,-1.2282193527369512,1.096960703402874,0.6722854557777929,-0.920173676033451,-0.904534033733292,0.8993671235903854,5,-1.1353938583894398,75000,5.25,22.5,-0.834979892173468,21.0,10.8,0.4319386091009246,0.84,-0.9018423649329214,16.8,8.6,0.07,6.16,26.42,0.6841019839780912,-0.7,-1.0118572268086397,0.3656800195932552,1.8605210188381267,-0.5423215131442379,-0.8214182220331309,0.1056130607273257,-0.7972389646429396,-0.1773631184088844,-0.8082185580250127,-0.1385640628955551,-0.2542747087524435,0.0026963275883291,-0.7979679175886161,0.0,-0.1758631145281647,-0.1666092614950695,-0.25432262155825,-0.1536001205719429,-0.1574262639841924,-1.6037923911098126
-0.7433817634523122,1200,-0.0849608820270545,-1.6413779650408975,-0.968589857112204,1.504157352767396,0.8993671235903844,-1.277691296586971,-0.8324322854376432,50.4,216.0,25.9,-1.2388268960998374,1.2380106286857546,89.0,10.7,-1.2386731344728257,1.4142135623730945,1.7,0.2,-1.2702007845165897,10.5,-1.192976329702892,1.096960703402874,0.6722854557777929,-0.920173676033451,-0.904534033733292,0.8993671235903854,7,-1.1127033772571864,80000,5.6,24.0,-0.8320590441900438,25.2,12.96,-0.1009560654407473,1.01,-0.8981545079955311,20.16,10.4,0.09,6.7,28.7,0.2328316726297338,-0.1,-0.7999027853346306,-0.0296497313183717,1.8605210188381267,-0.5388439785937779,-0.5262725826945509,0.0998484601770182,-0.7956812868514772,-0.1773631184088844,-0.8069942214870991,-0.1385640628955551,-0.2542747087524435,-0.0020083340573483,-0.7979679175886161,0.0,-0.1758631145281647,-0.4316095496312592,-0.2543226215582498,-0.1771014193313855,-0.1574262639841924,-0.7593161931482552
-0.7433817634523122,1200,-0.7646479382434908,-1.1791987961596122,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8300990990769739,58.8,252.0,30.2,-1.1896736003942494,1.1888442018118166,104.6,12.5,-1.1895064315961594,1.4142135623730945,2.5,0.3,-1.2093285424471043,12.2,-1.1577333066688311,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,8,-0.9697533461239856,105000,7.35,31.5,-0.8291381962066198,29.4,15.12,0.4319386091009246,1.1,-0.8960339902565317,22.05,11.3,0.21,8.66,37.11,0.7003347289906229,-0.6,-0.91512634076681,-0.0296497313183717,1.8605210188381267,-0.5457990476946979,-0.5947734330854534,0.0940838596267108,-0.7945130285078802,-0.1773631184088844,-0.8053617727698811,-0.132279978410496,-0.2579726896705218,-0.0079271019341684,-0.7964870913157187,0.1,-0.1758631145281647,0.0983910266411201,-0.2580206270215185,-0.180153536053391,-0.1574262639841924,-1.0971066723328775
-0.7433817634523122,1400,-0.6558980092488609,-0.5860688627619635,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8269026337628569,82.03,352.0,42.2,-1.1306896455475437,1.129844489563092,147.2,17.7,-1.127228607952381,0.7071067811865461,4.0,0.5,-1.1514999124810936,17.2,-1.0907715629041213,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,11,-0.9266414319727024,143486,10.04,43.05,-0.8251074259894945,41.0,21.09,0.3341773558576679,1.54,-0.8913319726613592,30.76,15.8,0.29,11.87,50.87,0.6159244549254619,-0.5,-0.8511132544155992,-0.4249794822299991,0.620173672946042,-0.5457990476946979,-0.3452950273408086,0.0868316202247112,-0.7906188340292237,-0.1773631184088844,-0.8008725387975314,-0.132279978410496,-0.2598216801295609,-0.0144529229265597,-0.7950062650428215,0.1,-0.1758631145281647,0.0048615131812888,-0.2598696297531528,-0.1838146175216031,-0.1574262639841924,-1.0321469647973738
-0.7433817634523122,1400,-0.5335543391299025,-0.6785046965382205,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8230762081313591,98.1,420.0,50.5,-1.0618750315597203,1.0708447773143654,177.6,21.3,-1.0665896744044925,0.7071067811865461,6.0,0.7,-1.0784532219977114,20.6,-1.0414313306564384,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,14,-0.8971438065007723,168168,11.77,50.45,-0.8203172352966789,49.0,25.23,0.2402498772514023,1.84,-0.885707990831839,36.79,18.9,0.34,13.95,59.8,0.5380072788653143,-0.2,-0.7970577592745767,-0.4249794822299991,0.620173672946042,-0.5527541167956179,-0.3131588259228543,0.0788355613968654,-0.7878928978941643,-0.1773631184088844,-0.7980157535423998,-0.132279978410496,-0.2630574134328794,-0.0220410868712008,-0.7935254387699241,0.1,-0.1758631145281647,-0.0960696164516229,-0.2631053845335129,-0.1979966799666541,-0.1574262639841924,-0.810719092154611
-0.7433817634523122,1400,-0.4248044101352726,-0.7709405303144776,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8185031628644472,117.31,503.0,60.3,-1.0028910767130146,1.0020117796908523,214.3,25.7,-1.0043118507607138,0.7071067811865461,8.0,1.0,-1.0084501436178035,24.7,-0.9956154007121611,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,17,-0.8653771329156164,197153,13.8,59.15,-0.8145923732491677,58.7,30.16,0.1501561732821272,2.2,-0.8788854554976672,43.99,22.6,0.41,16.41,70.33,0.4600901028051659,0.2,-0.7444247771635811,-0.4249794822299991,0.620173672946042,-0.556231651346078,-0.2818683140158988,0.0695378185737889,-0.7847775423112391,-0.1773631184088844,-0.7943427439286591,-0.132279978410496,-0.2672176419657174,-0.0309951203258774,-0.7920446124970267,0.1,-0.1758631145281647,-0.1821975137383745,-0.26726564067969,-0.2096394823969766,-0.1574262639841924,-0.8667949819797274
-0.7433817634523122,1400,-0.3160544811406427,-0.8556733779427127,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8130435067804809,140.24,601.0,72.1,-0.9439071218663092,0.9430120674421268,258.4,31.0,-0.9436729172128252,0.7071067811865461,11.0,1.4,-0.9354034531344214,29.6,-0.9462751684644783,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,20,-0.833610459330461,231162,16.18,69.35,-0.8077575889679552,70.1,36.06,0.0638962439498416,2.63,-0.8707721702354086,52.59,27.0,0.49,19.3,82.72,0.3854194757475241,0.7,-0.6932143080826124,-0.4249794822299991,0.620173672946042,-0.5631867204469979,-0.2514234916199422,0.0585664820425587,-0.7808833478325827,-0.1773631184088844,-0.7902616221356139,-0.1259958939254367,-0.2718401181133152,-0.0414667865694821,-0.7905637862241294,0.2,-0.1758631145281647,-0.2651428559290798,-0.2718881475087758,-0.2191144138737089,-0.1574262639841924,-0.6683726025985495
-0.7433817634523122,1400,-0.1937108110216844,-0.9404062255709486,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8065105849706068,167.68,719.0,86.2,-0.8849231670196035,0.8840123551934024,311.7,37.4,-0.8813950935690468,0.7071067811865461,15.0,1.8,-0.8623567626510392,35.6,-0.8969349362167957,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,24,-0.8018437857453056,271177,18.98,81.35,-0.7995792146143678,83.8,43.12,-0.0204467980639473,3.14,-0.8610915457747593,62.88,32.3,0.59,22.71,97.34,0.3172419466948948,1.5,-0.6420038390016438,-0.4249794822299991,0.620173672946042,-0.566664254997458,-0.2209786692239854,0.0457355969467132,-0.776210314458195,-0.1773631184088844,-0.7849561638046552,-0.1259958939254367,-0.2778493371051924,-0.0539113754386935,-0.7876021336783348,0.2,-0.1758631145281647,-0.3548673847411407,-0.2778974063865873,-0.2269110366479023,-0.1574262639841924,-0.6683726025985495
-0.7433817634523122,1400,-0.0849608820270545,-1.0251390731991843,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.7986944106623645,200.51,859.0,103.1,-0.8161085530317802,0.8250126429446757,376.0,45.1,-0.820756160021158,0.7071067811865461,20.0,2.4,-0.7893100721676571,42.7,-0.8475947039691148,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,29,-0.7723461602733748,318267,22.28,95.48,-0.7898235823497312,100.3,51.56,-0.1009560654407473,3.76,-0.8495669928454148,75.19,38.7,0.7,26.74,114.6,0.2490644176422647,2.5,-0.592215882950702,-0.4249794822299991,0.620173672946042,-0.577096858648838,-0.1913795363390276,0.0304872987168677,-0.770758442188076,-0.1773631184088844,-0.7788344811150874,-0.1259958939254367,-0.2843208037118294,-0.0684806502124045,-0.7831596548596427,0.2,-0.1758631145281647,-0.4316095496312592,-0.2843689159473073,-0.2333224237394717,-0.1574262639841924,-0.6449032889083057
-0.2637806257411451,1400,0.0237890469675753,-0.8710793502387559,-0.7044289869906936,1.1215537368514998,0.516657709296604,-0.8396257091857238,-0.7893383333560803,239.81,1028.0,123.3,-0.7571245981850745,0.7561796453211626,453.5,54.4,-0.7584783363773797,0.7071067811865461,27.0,3.2,-0.7193069937877492,51.2,-0.8017787740248395,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,35,-0.7405794866882194,361266,25.29,108.38,-0.780476868802774,115.9,59.61,-0.1776315581805557,4.5,-0.8356453329067668,89.93,46.2,0.98,30.76,131.85,0.0834904185144503,4.5,-0.5011750490289799,-0.4249794822299991,-0.6201736729460424,-0.577096858648838,-0.0949709320851649,0.0126356324965609,-0.76413831157436,-0.1773631184088844,-0.7718965740669106,-0.1197118094403776,-0.2884810322446674,-0.0844157944961508,-0.7787171760409507,0.3,-0.1758631145281647,-0.2742294658473215,-0.2885291720934846,-0.2372407163760191,-0.1574262639841924,-0.4798713421864318
